qubits,depth,qiskit_aer,cirq,pennylane,qibo,braket
10,10,0.006241001000034885,0.019996089999949618,0.024106777000270085,0.005951915999958146,0.09307996400002594
12,10,0.013598578999790334,0.030675766000058502,0.03256601100019907,0.013649686000007932,0.12393992699981027
14,10,0.03273941299994476,0.040674319000117976,0.0501293619995522,0.03263627800015456,0.14824250099991332
16,10,0.07842150200031028,0.0846497160000581,0.1439612690001013,0.14246280800034583,0.24134971700004826
18,10,0.3248183710002195,0.3258232879998104,1.7971802340002796,1.640137334999963,0.5104793569998947
