simulator,C,r_squared,one_second_qubits,one_minute_qubits,oom_qubits
qiskit_aer,2.628846977254639e-09,0.9998499684676667,20,25,30
cirq,3.168770349792593e-09,0.993252709624745,20,25,30
pennylane,1.2480955730524426e-08,0.9772897447888307,18,23,30
qibo,1.3999844587534312e-08,0.9849340112746638,18,23,30
braket,1.3498737521634404e-08,0.9730532618375046,18,23,30
